race,rclass,driver,position,points
R2022-15,cayc,ROSU,2,23
R2022-15,cayc,LEHI,3,21
R2022-15,cayc,NIDR,4,19
R2022-15,cayc,ROVL,5,18
R2022-15,cayc,TEGO,6,17
R2022-15,cayc,JWOF,7,16
R2022-16,cayc,LEHI,1,25
R2022-16,cayc,ROSU,2,23
R2022-16,cayc,TEGO,3,21
R2022-16,cayc,NIDR,4,19
R2022-16,cayc,ROVL,5,18
R2022-16,cayc,ANBR,6,17
R2022-16,cayc,JWOF,7,16
R2022-17,cayc,ROSU,1,25
R2022-17,cayc,NIDR,2,23
R2022-17,cayc,TEGO,3,21
R2022-17,cayc,HENO,4,19
R2022-17,cayc,ANBR,5,18
R2022-17,cayc,TEST,6,17
R2022-17,cayc,JWOF,7,16
R2022-17,cayc,JWKO,8,15
R2022-17,cayc,SABA,9,14
R2022-17,cayc,TEHU,10,13
R2022-17,cayc,GIGO,11,12
R2022-18,cayc,TEHU,1,25
R2022-18,cayc,TEGO,2,23
R2022-18,cayc,GIGO,3,21
R2022-18,cayc,JWOF,4,19
R2022-18,cayc,ROSU,5,18
R2022-18,cayc,NIDR,6,17
R2022-18,cayc,TEST,7,16
R2022-18,cayc,ANBR,8,15
R2022-18,cayc,HENO,9,14
R2022-18,cayc,JWKO,10,13
R2022-18,cayc,SABA,11,12
R2022-3,gt4c,FRAS,1,25
R2022-4,gt4c,FRAS,1,25
R2022-5,gt4c,FRAS,1,25
R2022-6,gt4c,FRAS,1,25
R2022-6,gt4c,SEAN,2,23
R2022-7,gt4c,FRAS,1,25
R2022-7,gt4c,SEAN,2,23
R2022-8,gt4c,FRAS,1,25
R2022-8,gt4c,SEAN,2,23
R2022-9,gt4c,ROVL,1,25
R2022-9,gt4c,FRAS,2,23
R2022-10,gt4c,ROVL,1,25
R2022-10,gt4c,FRAS,2,23
R2022-11,gt4c,ROVL,1,25
R2022-11,gt4c,FRAS,2,23
R2022-12,gt4c,TEVE,1,25
R2022-12,gt4c,ROVL,2,23
R2022-13,gt4c,TEVE,1,25
R2022-13,gt4c,ROVL,2,23
R2022-14,gt4c,RUSL,1,25
R2022-15,gt4c,RUSL,1,25
R2022-16,gt4c,RUSL,1,25
R2022-1,rsc,SEAN,1,25
R2022-2,rsc,SEAN,1,25
R2022-3,rsc,EDWI,1,25
R2022-3,rsc,MAKO,2,23
R2022-3,rsc,SEAN,3,21
R2022-3,rsc,EVMA,4,19
R2022-3,rsc,HAGR,5,18
R2022-4,rsc,MAKO,1,25
R2022-4,rsc,EDWI,2,23
R2022-4,rsc,EVMA,3,21
R2022-4,rsc,HAGR,4,19
R2022-4,rsc,SEAN,5,18
R2022-5,rsc,MAKO,1,25
R2022-5,rsc,EDWI,2,23
R2022-5,rsc,EVMA,3,21
R2022-5,rsc,SEAN,4,19
R2022-5,rsc,HAGR,5,18
R2022-6,rsc,MAKO,1,25
R2022-6,rsc,EDWI,2,23
R2022-6,rsc,EVMA,3,21
R2022-7,rsc,MAKO,1,25
R2022-7,rsc,EDWI,2,23
R2022-7,rsc,EVMA,3,21
R2022-8,rsc,MAKO,1,25
R2022-8,rsc,EDWI,2,23
R2022-8,rsc,EVMA,3,21
R2022-9,rsc,SEAN,1,25
R2022-9,rsc,EDWI,2,23
R2022-9,rsc,PEST,3,21
R2022-9,rsc,JMSC,4,19
R2022-9,rsc,IVRI,5,18
R2022-10,rsc,EDWI,1,25
R2022-10,rsc,SEAN,2,23
R2022-10,rsc,JMSC,3,21
R2022-10,rsc,PEST,4,19
R2022-10,rsc,IVRI,5,18
R2022-11,rsc,EDWI,1,25
R2022-11,rsc,JMSC,2,23
R2022-11,rsc,SEAN,3,21
R2022-11,rsc,IVRI,4,19
R2022-11,rsc,PEST,5,18
R2022-12,rsc,EVMA,1,25
R2022-12,rsc,SEAN,2,23
R2022-13,rsc,EVMA,1,25
R2022-13,rsc,SEAN,2,23
R2022-14,rsc,HEHO,1,25
R2022-14,rsc,EDWI,2,23
R2022-14,rsc,EVMA,3,21
R2022-14,rsc,JMSC,4,19
